?genes_iri	?upRegulated
<http://example.org/onto/individual/ENSMUSG00000061825_CNSOverKidney>	"Ces2c"
<http://example.org/onto/individual/ENSMUSG00000034216_CNSOverKidney>	"Vps18"
<http://example.org/onto/individual/ENSMUSG00000018143_CNSOverKidney>	"Mafk"
<http://example.org/onto/individual/ENSMUSG00000064267_CNSOverKidney>	"Hvcn1"
<http://example.org/onto/individual/ENSMUSG00000049265_CNSOverKidney>	"Kcnk3"
<http://example.org/onto/individual/ENSMUSG00000046318_CNSOverKidney>	"Ccbe1"
<http://example.org/onto/individual/ENSMUSG00000038811_CNSOverKidney>	"Gngt2"
<http://example.org/onto/individual/ENSMUSG00000028494_CNSOverKidney>	"Plin2"
<http://example.org/onto/individual/ENSMUSG00000034226_CNSOverKidney>	"Rhov"
<http://example.org/onto/individual/ENSMUSG00000073555_CNSOverKidney>	"Gm4951"
<http://example.org/onto/individual/ENSMUSG00000031377_CNSOverKidney>	"Bmx"
<http://example.org/onto/individual/ENSMUSG00000042766_CNSOverKidney>	"Trim46"
<http://example.org/onto/individual/ENSMUSG00000006717_CNSOverKidney>	"Acot13"
<http://example.org/onto/individual/ENSMUSG00000046794_CNSOverKidney>	"Ppp1r3b"
<http://example.org/onto/individual/ENSMUSG00000040734_CNSOverKidney>	"Ppp1r13l"
<http://example.org/onto/individual/ENSMUSG00000003178_CNSOverKidney>	"Mical3"
<http://example.org/onto/individual/ENSMUSG00000026469_CNSOverKidney>	"Xpr1"
<http://example.org/onto/individual/ENSMUSG00000020053_CNSOverKidney>	"Igf1"
<http://example.org/onto/individual/ENSMUSG00000037606_CNSOverKidney>	"Osbpl5"
<http://example.org/onto/individual/ENSMUSG00000069835_CNSOverKidney>	"Sat2"
<http://example.org/onto/individual/ENSMUSG00000031012_CNSOverKidney>	"Cask"
<http://example.org/onto/individual/ENSMUSG00000053398_CNSOverKidney>	"Phgdh"
<http://example.org/onto/individual/ENSMUSG00000058022_CNSOverKidney>	"Adtrp"
<http://example.org/onto/individual/ENSMUSG00000048924_CNSOverKidney>	"Ccdc125"
<http://example.org/onto/individual/ENSMUSG00000041695_CNSOverKidney>	"Kcnj2"
<http://example.org/onto/individual/ENSMUSG00000030539_CNSOverKidney>	"Sema4b"
<http://example.org/onto/individual/ENSMUSG00000054277_CNSOverKidney>	"Arfgap3"
<http://example.org/onto/individual/ENSMUSG00000052698_CNSOverKidney>	"Tln2"
<http://example.org/onto/individual/ENSMUSG00000004748_CNSOverKidney>	"Mtfp1"
<http://example.org/onto/individual/ENSMUSG00000037820_CNSOverKidney>	"Tgm2"
<http://example.org/onto/individual/ENSMUSG00000041633_CNSOverKidney>	"Kctd12b"
<http://example.org/onto/individual/ENSMUSG00000072623_CNSOverKidney>	"Zfp9"
<http://example.org/onto/individual/ENSMUSG00000017760_CNSOverKidney>	"Ctsa"
<http://example.org/onto/individual/ENSMUSG00000048878_CNSOverKidney>	"Hexim1"
<http://example.org/onto/individual/ENSMUSG00000025854_CNSOverKidney>	"Fam20c"
<http://example.org/onto/individual/ENSMUSG00000003363_CNSOverKidney>	"Pld3"
<http://example.org/onto/individual/ENSMUSG00000062148_CNSOverKidney>	"Ear6"
<http://example.org/onto/individual/ENSMUSG00000045730_CNSOverKidney>	"Adrb2"
<http://example.org/onto/individual/ENSMUSG00000092618_CNSOverKidney>	"Btnl6"
<http://example.org/onto/individual/ENSMUSG00000022949_CNSOverKidney>	"Clic6"
<http://example.org/onto/individual/ENSMUSG00000063171_CNSOverKidney>	"Rps4l"
<http://example.org/onto/individual/ENSMUSG00000051504_CNSOverKidney>	"Siglech"
<http://example.org/onto/individual/ENSMUSG00000061838_CNSOverKidney>	"Suclg2"
<http://example.org/onto/individual/ENSMUSG00000059089_CNSOverKidney>	"Fcgr4"
<http://example.org/onto/individual/ENSMUSG00000028238_CNSOverKidney>	"Atp6v0d2"
<http://example.org/onto/individual/ENSMUSG00000048416_CNSOverKidney>	"Mlf1"
<http://example.org/onto/individual/ENSMUSG00000020128_CNSOverKidney>	"Vps54"
<http://example.org/onto/individual/ENSMUSG00000029314_CNSOverKidney>	"Agpat9"
<http://example.org/onto/individual/ENSMUSG00000029373_CNSOverKidney>	"Pf4"
<http://example.org/onto/individual/ENSMUSG00000054893_CNSOverKidney>	"Zfp667"
