?genes_iri	?downRegulated
<http://example.org/onto/individual/ENSMUSG00000005580_CNSOverKidney>	"Adcy9"
<http://example.org/onto/individual/ENSMUSG00000005611_CNSOverKidney>	"Mrvi1"
<http://example.org/onto/individual/ENSMUSG00000048277_CNSOverKidney>	"Syngr2"
<http://example.org/onto/individual/ENSMUSG00000056124_CNSOverKidney>	"B4galt6"
<http://example.org/onto/individual/ENSMUSG00000024299_CNSOverKidney>	"Adamts10"
<http://example.org/onto/individual/ENSMUSG00000045394_CNSOverKidney>	"Epcam"
<http://example.org/onto/individual/ENSMUSG00000032313_CNSOverKidney>	"AI118078"
<http://example.org/onto/individual/ENSMUSG00000032372_CNSOverKidney>	"Plscr2"
<http://example.org/onto/individual/ENSMUSG00000060509_CNSOverKidney>	"Xcr1"
<http://example.org/onto/individual/ENSMUSG00000011256_CNSOverKidney>	"Adam19"
<http://example.org/onto/individual/ENSMUSG00000047842_CNSOverKidney>	"Diras2"
<http://example.org/onto/individual/ENSMUSG00000019854_CNSOverKidney>	"Reps1"
<http://example.org/onto/individual/ENSMUSG00000040133_CNSOverKidney>	"Gpr176"
<http://example.org/onto/individual/ENSMUSG00000033735_CNSOverKidney>	"Spr"
<http://example.org/onto/individual/ENSMUSG00000021219_CNSOverKidney>	"Rgs6"
<http://example.org/onto/individual/ENSMUSG00000017754_CNSOverKidney>	"Pltp"
<http://example.org/onto/individual/ENSMUSG00000035314_CNSOverKidney>	"Gdpd5"
<http://example.org/onto/individual/ENSMUSG00000047747_CNSOverKidney>	"Rnf150"
<http://example.org/onto/individual/ENSMUSG00000001281_CNSOverKidney>	"Itgb7"
<http://example.org/onto/individual/ENSMUSG00000024033_CNSOverKidney>	"Rsph1"
<http://example.org/onto/individual/ENSMUSG00000028024_CNSOverKidney>	"Enpep"
<http://example.org/onto/individual/ENSMUSG00000023079_CNSOverKidney>	"Gtf2ird1"
<http://example.org/onto/individual/ENSMUSG00000068394_CNSOverKidney>	"Cep152"
<http://example.org/onto/individual/ENSMUSG00000037548_CNSOverKidney>	"H2-DMb2"
<http://example.org/onto/individual/ENSMUSG00000055799_CNSOverKidney>	"Tcf7l1"
<http://example.org/onto/individual/ENSMUSG00000037815_CNSOverKidney>	"Ctnna1"
<http://example.org/onto/individual/ENSMUSG00000045136_CNSOverKidney>	"Tubb2b"
<http://example.org/onto/individual/ENSMUSG00000075033_CNSOverKidney>	"Nxpe3"
<http://example.org/onto/individual/ENSMUSG00000054072_CNSOverKidney>	"Iigp1"
<http://example.org/onto/individual/ENSMUSG00000025938_CNSOverKidney>	"Slco5a1"
<http://example.org/onto/individual/ENSMUSG00000022540_CNSOverKidney>	"Rogdi"
<http://example.org/onto/individual/ENSMUSG00000022184_CNSOverKidney>	"Fbxo4"
